"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7662","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7847","PRISM.7852","PRISM.7855","PRISM.7858","PRISM.7860","PRISM.7861","PRISM.7862","PRISM.7870","PRISM.7874","PRISM.7875","PRISM.7879","PRISM.7897","PRISM.7899","PRISM.7904","PRISM.7906","PRISM.7908","PRISM.7909","PRISM.7910","PRISM.7911","PRISM.7912","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7955","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8244","PRISM.8264","PRISM.8275","PRISM.8283","PRISM.8332","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8589","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8683","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8754","PRISM.8758","PRISM.8764","PRISM.8765","PRISM.8774","PRISM.8776","PRISM.8778","PRISM.8783","PRISM.8784","PRISM.8785","PRISM.8788","PRISM.8789","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","PRISM.9126","PRISM.9148","Validation.LLDeep_0001","Validation.LLDeep_0003","Validation.LLDeep_0010","Validation.LLDeep_0011","Validation.LLDeep_0012","Validation.LLDeep_0015","Validation.LLDeep_0018","Validation.LLDeep_0021","Validation.LLDeep_0022","Validation.LLDeep_0024","Validation.LLDeep_0026","Validation.LLDeep_0027","Validation.LLDeep_0028","Validation.LLDeep_0029","Validation.LLDeep_0030","Validation.LLDeep_0033","Validation.LLDeep_0034","Validation.LLDeep_0037","Validation.LLDeep_0039","Validation.LLDeep_0043","Validation.LLDeep_0047","Validation.LLDeep_0052","Validation.UMCG0333264","Validation.UMCG1180653","Validation.UMCG1576297","Validation.UMCG1705352","Validation.UMCG1708847","Validation.UMCG2023308","Validation.UMCG2136686","Validation.UMCG2739287","Validation.UMCG2788516","Validation.UMCG3243705","Validation.UMCG3299495","Validation.UMCG3321127","Validation.UMCG3595094","Validation.UMCG3748218","Validation.UMCG4000898","Validation.UMCG4081271","Validation.UMCG4268471","Validation.UMCG4722506","Validation.UMCG4789724","Validation.UMCG4851027","Validation.UMCG5113553","Validation.UMCG5308346","Validation.UMCG5437940","Validation.UMCG5613882","Validation.UMCG5792346","Validation.UMCG5921444","Validation.UMCG6047689","Validation.UMCG6054655","Validation.UMCG6262744","Validation.UMCG6628208","Validation.UMCG6720116","Validation.UMCG6738619","Validation.UMCG6868484","Validation.UMCG6966873","Validation.UMCG7115152","Validation.UMCG7198526","Validation.UMCG7563651","Validation.UMCG8089650","Validation.UMCG8255148","Validation.UMCG8438880","Validation.UMCG9119812","Validation.UMCG9189151","Validation.UMCG9830707"
"C00181",85.3097,0.870127,105.129,1e-28,116.503,1e-28,1e-28,182.364,35.3891,104.348,5.40224,14.59,1e-28,6.88211,154.726,107.766,194.592,70.1681,1e-28,64.8925,134.447,4.75274,198.425,59.807,122.214,59.6933,92.1152,175.269,100.57,34.4565,192.104,73.0319,104.081,134.642,9.88187,199.114,87.0379,166.861,184.838,209.723,147.051,228.962,91.5149,123.057,244.66,15.2827,352.201,4.55579,102.321,34.1389,115.979,40.4009,110.55,12.1867,47.5691,63.3852,3.34528,90.7214,17.7531,21.5485,35.6377,340.678,141.63,339.99,26.9439,231.704,99.4936,114.476,42.5672,92.8701,186.071,44.8221,52.6485,334.275,227.972,17.9975,249.426,51.4666,75.354,45.5701,271.232,28.6141,255.951,26.4321,138.655,10.7922,44.3549,67.752,165.576,62.1136,62.8364,323.363,239.739,174.63,147.334,163.758,142.427,154.185,1e-28,18.2351,23.1368,145.247,1e-28,1e-28,19.7872,22.9542,3.59907,28.2493,1e-28,37.2981,12.0163,8.0756,61.8206,77.5968,96.9899,56.3219,43.0363,6.71303,48.5097,112.699,1e-28,91.2588,37.911,31.0801,9.05651,82.6102,44.4264,28.1771,15.0326,97.0547,1e-28,59.5849,1e-28,176.426,1e-28,1e-28,1e-28,50.8222,13.4588,77.0863,1e-28,32.099,6.4319,1e-28,106.779,51.3311,40.4676,26.3414,1e-28,0.912737,17.9502,42.4271,70.4502,120.307,55.1693,332.699,102.487,143.976,235.946,555.266,313.22,283.005,245.527,660.252,192.946,103.113,248.079,351.614,168.562,357.073,58.818,528.667,319.709,279.214,683.697,453.088,220.763,113.754,243.293,10.8056,172.024,86.0742,232.728,300.854,114.966,50.9138,304.151,250.214,139.81,87.5268,169.668,172.431,147.886,29.1002,256.928,136.483,40.9903,192.047,122.841,192.101,42.4131,416.445,408.396,179.265,119.679,410.864,136.153,322.693,593.53,154.164,86.5334,389.715,67.1728,115.427,105.911,350.944,133.586,443.126,122.966,55.9739
"C00183",38740.18,1279.586,36797.12,3241.39,19999.49,81564.6,1621.041,7598.03,30271.4,50866.5,45358.5,33065.4,830.486,2660.4,31771.9,25129.13,24396.66,39786.7,38507.6,37302.5,46493,45465.5,32224.9,30997.66,45864.1,21574.4,34627.7,44647.6,18311.75,25135.87,44436.8,64805,27741.4,39176.4,22472.27,36537.42,20790.7,23105.68,31560.31,28514.24,32202.4,27795.32,46630.5,31708.16,13554.37,26374.03,26090.8,38594.92,48272.1,14569.73,66682.3,4729.05,60938.1,59569.8,35284.7,6337.21,23670.86,42927.2,2250.995,5085.75,50123.5,56219,45989.2,46467.92,22840.28,65469.4,32192.85,24102.51,79678.7,48804.7,24082.66,24428.5,27823.28,49758.1,42213.48,51008.4,28537.14,45537.7,82327.5,57999.2,35336.51,48107.4,40316.8,27145.32,55431,23051.06,29764,20697.05,27632.89,34759.29,29025.42,30335.38,30713.1,36790.66,21500.11,89027.8,45140.7,24589.97,37249.54,9668.29,17086.5,26270.31,1522.806,12412.26,4298.26,2344.31,4324.182,5937.57,2830.077,5975.14,513.84,32413.9,1262.258,2043.906,10968.93,2021.457,3900.3,11425.99,6157.76,5727,397.179,2633.695,11274.482,1912.906,2700.31,7231.7,8536.49,49729.4,21039.33,42177.5,12748.09,32981,29046.72,16757.06,8609.08,15340.94,2478.02,36831.88,4209.92,60490,51656.2,18019.32,9060.74,4763.97,53454.2,4477.233,29169.97,5565.16,16070.86,8208.464,155.8286,41210,10655.77,23409.57,14341.4,38050.8,61771.6,30323.89,52996,41863.4,52661.2,47479.2,44092.1,58244.2,58692.5,52734.9,36526.7,50869.66,25822.73,49697,29345.28,56037.1,29788.57,65991.4,49476.6,37835.4,36518.66,38240.8,18073.74,24468.8,29705.94,26270.21,79559.8,28542.78,39909.1,50758.7,25723.75,37779.6,24070.14,56156.5,41917.5,47393.7,23139.31,23479.66,26733.46,16399.44,58565.5,66367.4,46140.1,33816.3,89168.2,41497.66,58204,11811.42,67470.5,31033.6,75732.3,45182,26439.91,33273.47,25672.42,48708.77,30447.59,30805.88,69555.6,15584.49,46073.5,74380.9,36852.7,30366.5
"C00186",289.984,642.96,4611.32,116.765,462.173,424.034,20340.4,375.717,215.782,531.503,95.2509,132.802,684.545,1002.82,497.194,217.507,579.911,554.697,412.859,6822.11,228.703,8060.44,579.682,5738.16,1173.9,317.319,324.842,158.978,270.555,201.32,69.1334,21101.9,265.703,1113.68,486.979,397.82,515.142,841.752,600.68,6449.53,721.466,215.526,713.977,106.784,1465.92,1220,1474.36,3012.31,21255.2,2118.24,1378.7,303.337,24390.8,626.367,34653.7,293.135,16339.6,562.845,136.167,221.318,74532.4,969.006,1021.62,1267.67,425.88,229.913,921.938,222.934,42966.3,434.899,799.261,557.076,113.782,786.812,4156.45,106322,138.541,93.2565,223.799,59209.2,145.766,3377.19,1952.17,870.48,53349.8,9067.9,502.753,8104.85,864.14,20523,249.155,93.8764,417.692,1309.56,684.192,17180.3,598.754,106.135,20056.4,2152.85,407.229,438.758,1432.48,507.243,212.379,992.039,4745.89,3139.14,416.349,845.414,1229.76,467.2,257.552,316.553,149.316,313.092,259.871,131.521,748.04,278.438,503.524,343.377,522.022,169.727,5471.48,238.258,363.6,16658.4,612.125,1445.96,10072.8,4695.06,54063.7,121.741,1363.48,142.228,414.003,26636.9,459.265,29817.1,2340.1,279.828,573.898,218.173,7633.23,141.482,5443.31,205.785,112.925,490.141,345.786,4084.01,577.114,3819.65,555.474,246.253,213.145,153.916,293.798,403.342,496.545,670.426,275.758,585.764,1797.37,4618.9,412.338,196.396,322.291,740.602,555.85,602.593,130.53,306.246,616.133,1144.29,387.743,463.11,241.937,84.7396,263.329,382.129,529.026,317.26,416.882,2203.21,150.62,665.363,207.076,337.349,1116.01,283.316,1076.37,9279.94,350.914,677.37,1008.44,219.917,1737.85,213.646,585.392,486.616,130.962,233.633,251.624,141.4,274.793,1103,221.529,111.646,2029.4,110.992,760.107,464.812,8116.94,189.581,352.483,1521.38,114.364,886.266
"C00187",12199.5,119.465,989.907,108.009,2179.33,3685.36,194.033,194.113,2520.63,1517.83,8615.15,4621.68,526.862,3205.51,5548.42,61.7863,89.5471,4386.29,429.248,6473.66,152.936,359.628,1788.25,860.216,2538.13,630.187,2523.81,12362.9,3152.93,8171.67,6887.33,2801.94,106.481,7331.21,2113.91,2174.94,540.627,2250.95,78.4901,238.197,9256.09,70.6347,3314.05,2319.34,987.269,7930.53,351.852,468.084,1385.4,1073.11,7234.68,94.9144,7440.12,5653.39,1983.49,2648.88,114.272,2222.22,10685.5,1157.97,1078.07,10396.7,4344,6654.41,3903.66,128.923,90.8779,80.1826,5219.22,3160.83,14658.8,4149.55,1783.84,9492.58,11995.7,5755.89,2891.57,9412.3,4328.88,4631.69,773.59,10230.9,4582.5,3485.21,3081.88,5721.35,577.531,12962.9,2934.2,4387.61,2739.79,118.127,1452.53,7676.78,8398.46,3582.24,7231.66,70.8879,8563.17,1354.8,3623.4,657.797,52.3567,4339.22,159.201,1272.89,725.807,6547.6,537.354,5200.55,99.3893,2761.57,55.2519,52.6896,5343.3,32.1147,57.6531,6150.62,6492.81,2312.21,124.735,92.8675,1872.08,3038.29,8634.64,189.768,2051.02,2222.62,3909.14,3609.61,1365.5,15977.7,1645.39,8941.43,2123.58,8868.33,11591.9,3901.32,10346.7,3070.02,3250.56,84.9383,5900.11,30.7714,734.344,68.4505,174.654,206.682,517.28,5685.6,43.8778,358.052,147.754,7335.17,1881.22,75.4249,882.146,33.331,124.461,101.107,70.368,59.99,88.884,171.384,138.174,3244.24,12029.9,246.271,95.7012,3831.52,46.2708,775.203,111.866,9226.98,1267.91,45.0416,3201.99,2410.95,633.954,136.505,66.8865,69.9354,10001.8,203.619,4921.92,5543.19,109.665,7616.32,5942.48,3075.74,6293.41,1852.76,131.861,1381.73,373.686,96.5238,2194.95,1860.67,770.202,7769.48,4737.09,7831.17,156.611,1909.85,107.695,1867.68,3046.55,420.62,51.6651,149.639,98.1416,10145.3,3514.39,35.1843,83.6212,2187.08,7349.42,2544.7,3284.8,2620.19
"C00188",5987.849,176.3627,5879.413,154.8448,4068.374,1125.671,84.8151,1488.244,3331.369,3054.726,4150.364,4672.22,104.4712,413.542,4541.144,3342.294,2337.43,5273.07,1853.205,5886.982,3714.201,2638.35,5997.8,6319.78,5677.03,4144.159,5986.69,6362.388,2345.088,3170.859,5546.96,10728,3787.01,6611.11,3706.17,5571.837,2918.479,3845.026,3132.756,4507.221,4374.525,3914.162,5379.594,5706.085,1960.976,3866.222,3835.427,1425.573,4973.091,2365.333,7972.34,565.23,10566.22,3982.718,4119.16,1324.07,5981.65,5864.25,264.575,847.468,14854.19,5708.3,5807.98,9456.07,5814.39,5712.84,3286.585,3738.535,18578.52,7112.74,3492.704,2813.797,4726.012,8457.51,8007.28,9816.2,4650.544,4344.431,5363.01,9197.89,4253.955,6126.44,3255.745,4814.13,7478.62,4200.247,867.334,4393.015,4152.893,8261.96,4631.764,3043.267,6465.53,4096.658,3789.008,14719.01,5212.27,3154.431,15228.54,1508.039,2658.814,1006.957,228.9576,19.1102,556.596,251.5184,123.3832,210.0537,57.9713,694.45,44.7561,222.0556,248.424,303.2612,2219.305,159.0777,604.887,1935.308,1321.65,320.429,59.6166,312.756,95.864,267.3131,205.4228,1709.994,1808.942,7211.54,83.744,5023.99,183.8977,3707.876,2818.277,3977.48,23.8498,2281.1,609.568,9996.67,567.42,10706.32,3560.268,3181.75,101.6761,1084.046,6253.35,985.861,2743.717,810.177,114.0267,192.1256,12.4525,1682.742,2447.461,3411.816,1964.175,3976.751,7761.12,3750.118,5955.28,3970.431,5927.06,4055.974,5779.362,8314.36,6461.66,5565.5,5327.312,6106.321,3124.197,6499.22,3361.06,7796.48,3321.468,8845.43,6902.62,4606.592,4268.817,3916.011,2248.34,1262.882,4370.908,3129.864,8839.59,4142.453,6574.74,4233.33,3507.203,4854.375,3181.569,8337.47,4467.809,7272.2,3059.723,4247.33,4199.706,3096.471,2978.257,10573.06,6384.57,5517.244,2674.84,5171.916,8644.39,1619.199,4009.088,4237.587,9823.88,6593.64,3369.332,6020.99,3329.125,6879.054,3741.3,3403.713,4404.66,2465.705,7297.24,5797.14,4648.74,2503.757
"C00209",812.05,22.8656,270.038,27.9785,2769.11,600.942,43.715,11.6181,514.681,1324,397.081,151.609,16.6817,48.7262,350.855,120.798,109.997,214.557,282.765,594.557,375.273,1261.92,442.424,804.536,82.2851,1396.33,212.446,84.9523,272.751,77.4511,138.723,3546.36,60.9813,481.013,475.086,203.742,913.118,544.912,75.6809,140.594,152.904,1351.46,1425.42,1685.32,1611.91,108.581,718.844,418.287,1376.6,3378.8,231.111,25.3117,367.8,697.997,631.214,32.2509,884.943,992.93,32.7391,21.5134,299.809,176.176,100.163,79.48,9.36749,76.9727,94.8611,144.439,2548.31,72.3712,997.704,779.296,1169.48,378.218,442.505,633.112,792.801,402.971,193.393,680.052,108.815,104.488,166.236,88.966,1521.36,1207.36,139.412,2823.43,155.093,835.367,180.585,230.718,465.153,509.854,139.889,670.613,619.797,69.1797,96.9305,314.551,243.132,889.606,48.3998,139.211,1e-28,60.6254,71.441,51.9132,92.811,45.9716,66.6859,26.6943,19.1422,1e-28,11.9722,22.9519,1e-28,33.5867,1e-28,1e-28,275.678,38.5542,96.3187,38.2651,186.77,1e-28,22.6664,317.85,41.5958,1316.2,102.729,472.553,4057.04,8.50805,266.506,15.7757,61.4891,539.561,93.8114,2784.74,541.242,26.6723,185.196,13.4472,1792.22,20.2921,1727.05,1e-28,139.81,31.8956,118.732,199.002,2619.51,1963.73,2027.76,195.691,199.103,602.351,66.9164,81.9206,124.279,56.2775,47.4389,319.479,47.0709,74.5158,501.894,194.334,691.708,105.77,64.8761,187.8,72.3499,47.2218,426.683,136.442,70.3082,735.318,85.8544,1088.66,1593.45,28.6143,293.002,129.337,61.5832,1177.69,36.4715,248.07,157.217,40.5439,124.833,96.3903,68.0181,102.8,189.885,146.623,272.421,156.082,48.5276,53.5932,107.206,77.3023,942.488,97.9273,48.305,235.103,283.44,548.036,612.1,102.799,111.044,111.797,35.3718,1072.34,650.828,211.251,172.89,1362.13,765.571,102.432
"C00219",3797.8882,305.1674,8101.5007,996.079,3059.3926,2899.5528,6136.2,690.3746,1174.9897,874.2786,12449.4293,2907.7199,1312.2301,1274.1417,881.9187,307.8483,564.6026,1761.0727,1104.6713,4040.3435,554.7883,6400.8853,2807.6068,4942.7623,1380.8068,1721.414,621.343,409.888,322.6477,579.58908,896.8468,22372.1405,261.2521,2595.9346,610.1876,392.7105,693.9955,946.9429,143.5518,930.5199,573.9498,520.5988,3640.5723,1592.2404,4636.4406,2996.4874,1025.1487,1650.842,1658.4956,571.31193,24208.8225,1501.2702,27025.3014,12861.3735,17578.314,969.4213,3714.4215,13021.3447,816.8095,2138.9957,18104.9103,1045.7637,788.452,656.63953,630.1065,1860.2454,1812.9037,837.2871,22712.626,248.1598,15926.6674,731.6856,5054.3641,2593.9426,645.5013,53086.018,2674.7473,1300.1615,2095.9338,47804.0681,309.9477,4194.7581,430.1862,533.1952,45673.926,9457.7064,894.4938,11841.9847,205.62216,27586.095,1848.4565,1288.3123,962.23,3772.3213,1646.6906,43420.4851,1219.4578,2013.6993,5879.6762,284.3128,856.1211,16047.1687,1025.7087,3881.271,376.3375,2664.7428,1591.0145,5849.879,958.9218,7645.2473,666.492,5755.4231,376.3235,2119.5206,2887.2257,138.712,3969.723,2509.4111,800.2396,2819.9863,1025.4093,385.9794,8911.8312,1134.3824,2875.0408,1092.9879,254.0987,13613.3478,25218.2011,1411.2799,2081.2835,4027.9395,5311.7289,3278.0232,3317.6672,1753.8699,1069.7827,6786.772,11371.1227,11741.229,2824.6724,1478.8038,13462.6651,259.4981,9428.4936,751.6673,4598.0363,895.602,3162.9557,1088.7298,1142.0074,2924.4763,337.9111,3323.9137,1356.4688,470.6023,2588.3762,382.2521,2391.3733,433.5915,746.1142,408.2213,1042.9511,1700.1907,915.7662,2590.222,1849.8931,1367.2528,625.9416,1030.5106,759.1818,1410.6781,263.6602,970.3604,1508.9855,463.5438,1463.4398,1627.323,1440.6399,6354.4359,3933.6265,661.84,2758.3786,932.4767,696.6963,763.7329,561.5817,35358.2752,340.2843,520.3923,15141.6345,1080.4734,718.8714,8421.7103,1435.3496,5243.3699,4320.4804,611.1484,405.84658,602.3489,7014.8394,800.2526,218.2128,1950.0959,1158.0916,3679.919,478.0483,1885.1084,2058.8041,1104.5037,6760.2494,2425.8808,813.9279,2587.3616,14709.1334,3201.796,1196.8053,13078.599,1061.5593,1768.7639
"C00242",47.6517,278.481,110.69,102.981,67.4795,1e-28,1e-28,39.2407,263.767,1e-28,163.173,93.9226,111.111,152.09,1e-28,9.61674,157.793,55.5031,94.9376,1e-28,347.352,88.6045,428.344,16.7679,204.942,547.522,575.062,1e-28,796.638,146.988,298.493,79.1968,50.7326,243.895,87.8324,99.9086,47.6971,271.326,25.3457,88.6478,42.4203,41.3234,18.9714,18.496,10.0045,370.858,98.2739,13.618,1e-28,11.0683,55.9535,218.987,1e-28,73.5053,8.2443,64.6135,1e-28,1e-28,161.458,130.51,1e-28,300.506,14.7259,137.555,11.4944,17.6386,133.965,23.068,1e-28,15.3944,45.2542,7.62738,24.5794,1e-28,152.302,1e-28,1e-28,1e-28,38.4226,1e-28,112.427,48.3097,172.542,3.26069,29.3981,1e-28,1e-28,1e-28,1e-28,1e-28,208.445,28.441,15.3533,36.4,24.5724,35.0106,1e-28,47.8309,1e-28,1e-28,31.9762,46.4344,163.861,191.135,258.304,159.42,5.89557,1e-28,4.01279,66.523,329.619,1e-28,62.195,302.314,62.0416,94.407,398.717,68.5595,166.899,131.935,153.005,1084.01,220.95,214.444,135.976,646.846,108.773,11.9963,22.7323,1e-28,38.5915,25.3796,1e-28,41.9411,1e-28,87.6342,109.47,1e-28,187.472,1e-28,1e-28,381.677,34.9428,95.2913,14.2216,119.629,1e-28,425.629,1e-28,60.6923,70.1149,1e-28,1e-28,1e-28,10.0717,1e-28,24.8917,7.21684,34.6996,57.098,54.0781,55.6799,108.659,98.8962,46.7997,5.2347,33.2678,39.8792,25.6121,122.952,11.7755,19.8731,1.9102,9.485,12.5837,8.1911,21.1415,21.1663,17.9662,28.0802,50.7441,15.8524,14.3619,139.442,8.93163,30.9443,90.6744,89.6069,40.1793,18.6281,1e-28,19.9058,21.1473,1e-28,1e-28,4.69996,1e-28,16.8689,25.9815,1e-28,13.0807,52.6403,185.781,26.5613,90.2624,1e-28,11.8056,22.6522,6.79213,47.4773,22.634,5.0392,30.597,48.0146,17.3326,5.68161,27.6213,12.5265,43.5203,21.841
"C00245",43373.4,209.899,8991.26,6349.82,56.2552,23060.1,894.633,13870.75,24535.7,15504.8,16631.02,31673.4,4206.28,181.5696,9235.1,85.9851,233.4352,14198.17,6790.46,30252.9,27947.6,4131.31,1433.538,2324.53,129.5956,3377.74,246.127,220.6532,20082.94,184.7184,178.8017,27014.4,45.1227,1951.325,220.9002,38942,12178.5,724.487,182.5051,576.948,25919.9,254.601,10543.4,22329.95,12372.57,40.6242,2346.1,9512.32,10848.21,16388.86,24163.7,577.497,32346.8,14893.59,12051.97,159.8429,28074,17449.27,127.3811,90.6705,8437.61,2461.69,23616.4,450.68,215.0435,416.294,109.2489,1637.808,12577.27,104.8356,23544.8,23236.8,28327.9,16011.98,11579.34,76220.1,72.094,47.1241,14077.1,49421.3,128.1812,25584.8,119.3167,1200.965,24801.3,3405.91,232.382,28615.7,24411.4,14339.24,8197.46,203.4118,1458.191,29089,32413.5,44243.7,22158.5,7490.585,11938.85,23273.5,23062.6,1881.425,232.3703,2637.3,98.7463,1235.752,2065.777,393.575,7360.7,326.599,87.0603,5936.03,7773.45,363.356,118.2279,295.051,392.018,992.858,40.557,1038.9,131.4442,144.6237,9535.03,3877.3,832.385,69.221,6548.89,12342.55,552.784,13151.68,7673.69,12366.39,23546.7,116.2459,7515.51,2536.09,228.2895,4477.41,1693.738,16700.84,16420.06,87.7629,791.279,4.37315,17506.95,287.6428,4710.13,265.802,4760.65,14501.65,232.4339,13210.32,2720.175,3093.33,313.468,218.8599,241.3275,47.7218,436.691,328.856,591.879,108.1133,125.2716,426.264,142.1963,23693.9,2585.683,244.3023,469.526,701.374,124.5683,370.203,115.5986,940.182,5426.05,375.253,283.652,14398.5,10215.72,5409.6,344.389,259.971,18973.86,364.011,266.962,21143.65,12893.93,25666,232.68,25324,11106.84,5920.37,32703.1,4314.79,7972.19,16506.89,19797.86,31038.3,454.106,14345.33,26274.9,588.788,147.9592,976.305,1909.588,462.259,202.2378,2114.57,98.6427,1425.505,26146,92.0394,28496.6,29.8087,5692.37,2167.471,548.445,27580,30067.7,18394.17
"C00249",3874.95,3593.28,1623.7,12529.5,2175.52,1758.2,506.447,1132.61,351.149,1359.78,1075.41,424.132,5813.66,924.898,1754.36,1022.88,446.323,293.001,1066.71,319.523,2027.29,2429.92,1562.49,397.238,9333.61,1045.1,384.05,555.468,1324.3,167.15,527.856,1466.52,905.959,950.542,800.004,226.794,4902.07,1007.88,234.205,580.773,1104.9,2084.26,819.913,1702.26,5700.08,628.395,859.229,928.634,543.715,1479.69,370.369,3180.89,350.835,1009.38,1983.08,8755.06,2931.05,1393.65,5124.58,4530.19,1369.41,195.959,404.157,1643.5,1683,691.611,973.417,1055.02,3580.43,509.667,1359.43,371.51,1291.49,880.23,1928.03,237.768,754.27,910.623,437.624,639.486,1869.51,724.292,1001.83,324.627,1187.99,9674.47,1283.57,795.26,188.746,1098.98,573.023,1861.91,839.066,1490.41,1325.2,599.623,762.843,3482.89,482.345,706.061,744.677,10784.6,8492.33,6384.37,5404.65,1898.4,6253.29,1304.65,9644.6,6660.03,6137.43,2417.66,8293.7,3722.2,9759.14,7218.53,4153.05,2379.71,7847.23,4315.2,1031.57,1358.83,1040.18,4373.71,2257.04,7533.48,8136.04,1061.34,2247.34,1985.17,1499.37,789.194,134.923,7940.59,3727.9,2641.21,1522.12,574.345,11806.6,612.995,652.159,6644.78,2162.41,4828.03,1467,7380.91,2163.09,2134.47,1012.24,4587.63,6813.22,1373.63,103.31,2678.13,971.861,3486.45,1361.2,1301.54,1869.96,1136.94,1314.45,392.287,947.684,1079.19,909.616,2787.29,1278.18,1441.81,1911.92,547.877,625.726,737.159,2041.19,673.739,599.954,3724.79,991.391,1690.8,1711.26,9842.88,5792.63,990.077,219.745,900.339,1911.9,679.521,1229.12,1845.59,1681.72,1053.55,1734.57,1101.84,994.647,1559.99,801.22,3199.74,480.236,1887.56,301.357,580.021,44.2908,1202.42,934.737,943.231,1721.27,3945.23,570.143,1341.69,2551.36,1628.94,2011.47,633.719,359.153,5600.06,8024.67,1891.44,1410.93,3083.21,3521.4,1632.31
"C00253",9575.99,5040.474,1456.073,3556.877,7186.85,1301.17,17.7549,8643.08,9323.06,5942.92,7577.84,10902.416,4486.26,6069.292,19733.01,6735.448,4079.47,9250.71,3056.428,3648.098,5094.591,2619.715,13015.77,8347.21,7839.187,17789,10900.13,7804.55,18219.27,6106.54,7287.66,2452.257,5072.298,12365.36,13800.84,10172.56,10675.85,16245.45,8849.85,23611.67,10400.3,12176.05,5112.024,9640.81,3113.323,6756.44,11859.31,3710.582,2213.464,3250.529,2801.281,10307.26,5439.648,4077.791,1272.95,11387.22,274.4307,10675.3,2037.903,8531.94,577.5059,6868.69,5754.782,9236.56,7668.16,5947.327,2945.417,6017.909,932.42,5876.808,6535.41,6111.12,3421.078,8814.15,7769.84,3360.631,8130.16,1126.741,7046.457,2517.834,6690.61,4668.236,11147.13,843.948,3428.669,491.8629,2196.636,3339.353,9395.88,841.1084,4456.656,9015.96,7658.223,4623.388,5630.149,2869.173,7840.51,6436.513,1642.387,1491.751,6386.29,5254.095,6325.998,5101.463,3022.009,4272.695,2135.449,562.118,895.6255,6989.662,5955.481,458.5777,4485.956,8369.14,11687.65,9487.58,3756.702,7422.367,4674.047,13989.79,9457.24,17317.98,11050.26,1149.676,9797.45,4630.038,3363.338,1158.296,572.499,3218.401,716.1206,3429.992,3841.21,2815.682,699.9552,3171.698,2728.541,704.6209,6968.149,1753.515,10567.32,7255.63,5417.206,1911.073,7915.3,2698.899,2284.742,8126.037,5295.198,4434.411,1287.55,2805.346,9210.012,4529.17,9683.84,7203.804,9093.74,3578.316,6789.042,18808.03,10826.95,4648.317,4339.022,8409.68,8799.3,10405.75,13848.88,13169.79,14503.22,11755.98,4062.796,9442.92,5153.181,8814.55,14387.31,18280.39,14570.99,8671.35,5530.931,5843.791,8662.597,1910.464,10102.6,5991.241,5223.927,2992.601,3592.366,4383.71,4316.591,1872.629,4612.727,12920.676,3710.706,503.9607,4264.265,1560.647,5980.938,11282.71,5443.593,4218.677,6107.631,11494.4,11187.11,2233.521,8880.211,6933.278,11827.43,12630.79,11802.9,3282.157,2556.911,8576.96,2632.133,4287.714,757.6599,15111.568,9715.26,5883.483,8535.676,6570.606
