TF_ID	Gene_ID	Family
PH01000287G0830	PH01000287G0830	GRAS
PH01000290G0170	PH01000290G0170	Dof
PH01000290G0860	PH01000290G0860	NF-YC
PH01000291G1250	PH01000291G1250	Nin-like
PH01000294G0540	PH01000294G0540	HSF
PH01000295G0760	PH01000295G0760	bZIP
PH01000296G0390	PH01000296G0390	WRKY
PH01000298G0170	PH01000298G0170	WRKY
PH01000298G0850	PH01000298G0850	NAC
PH01000300G0590	PH01000300G0590	bHLH
PH01000302G0180	PH01000302G0180	bZIP
PH01000303G0700	PH01000303G0700	bZIP
PH01000308G0850	PH01000308G0850	FAR1
PH01000309G0360	PH01000309G0360	NAC
PH01000309G0940	PH01000309G0940	bHLH
PH01000309G0960	PH01000309G0960	Dof
PH01000309G1270	PH01000309G1270	bZIP
PH01000314G0470	PH01000314G0470	HSF
PH01000315G0720	PH01000315G0720	bZIP
PH01000317G0520	PH01000317G0520	GRAS
PH01000317G0680	PH01000317G0680	NAC
PH01000320G0780	PH01000320G0780	LBD
PH01000323G0020	PH01000323G0020	bHLH
PH01000323G0290	PH01000323G0290	bHLH
PH01000323G0330	PH01000323G0330	Dof
PH01000326G0720	PH01000326G0720	WRKY
PH01000327G0200	PH01000327G0200	bZIP
PH01000328G0180	PH01000328G0180	GeBP
PH01000329G0590	PH01000329G0590	NAC
PH01000331G0630	PH01000331G0630	bHLH
PH01000331G1100	PH01000331G1100	NAC
PH01000333G0160	PH01000333G0160	HSF
PH01000338G1040	PH01000338G1040	bHLH
PH01000348G0830	PH01000348G0830	bHLH
PH01000352G0060	PH01000352G0060	BBR-BPC
PH01000352G0610	PH01000352G0610	NAC
PH01000353G0190	PH01000353G0190	BBR-BPC
PH01000353G0690	PH01000353G0690	bZIP
PH01000355G1080	PH01000355G1080	bHLH
PH01000356G0990	PH01000356G0990	GRAS
PH01000357G1080	PH01000357G1080	LBD
PH01000358G0570	PH01000358G0570	NAC
PH01000361G0970	PH01000361G0970	NF-YA
PH01000369G0400	PH01000369G0400	GRAS
PH01000370G0800	PH01000370G0800	bZIP
PH01000371G0730	PH01000371G0730	HSF
PH01000371G0960	PH01000371G0960	WRKY
PH01000374G0830	PH01000374G0830	GRAS
PH01000376G0720	PH01000376G0720	NAC
PH01000378G0180	PH01000378G0180	S1Fa-like
PH01000381G0780	PH01000381G0780	NAC
PH01000382G0190	PH01000382G0190	GRAS
PH01000382G0290	PH01000382G0290	NAC
PH01000383G0210	PH01000383G0210	NAC
PH01000385G0170	PH01000385G0170	bHLH
PH01000390G0500	PH01000390G0500	bHLH
PH01000391G0630	PH01000391G0630	LBD
PH01000397G0230	PH01000397G0230	GRAS
PH01000397G0940	PH01000397G0940	bHLH
PH01000399G0890	PH01000399G0890	NF-YB
PH01000400G0800	PH01000400G0800	GeBP
PH01000403G0250	PH01000403G0250	LBD
PH01000405G0510	PH01000405G0510	WRKY
PH01000405G0640	PH01000405G0640	bHLH
PH01000417G1130	PH01000417G1130	GATA
PH01000423G0070	PH01000423G0070	TCP
PH01000430G0510	PH01000430G0510	WRKY
PH01000430G0960	PH01000430G0960	EIL
PH01000431G0060	PH01000431G0060	bHLH
PH01000435G0280	PH01000435G0280	NF-YC
PH01000436G0190	PH01000436G0190	bZIP
PH01000436G0570	PH01000436G0570	HSF
PH01000437G0190	PH01000437G0190	bZIP
PH01000439G0460	PH01000439G0460	NAC
PH01000445G0180	PH01000445G0180	WRKY
PH01000448G0580	PH01000448G0580	bHLH
PH01000450G0480	PH01000450G0480	SBP
PH01000450G0760	PH01000450G0760	bZIP
PH01000456G0310	PH01000456G0310	HSF
PH01000463G0800	PH01000463G0800	WRKY
PH01000464G0680	PH01000464G0680	NF-YB
PH01000468G0060	PH01000468G0060	NAC
PH01000468G0530	PH01000468G0530	EIL
PH01000468G1050	PH01000468G1050	GATA
PH01000478G0060	PH01000478G0060	WRKY
PH01000480G0720	PH01000480G0720	bZIP
PH01000483G1000	PH01000483G1000	NAC
PH01000491G0390	PH01000491G0390	NAC
PH01000498G0270	PH01000498G0270	bZIP
PH01000501G0450	PH01000501G0450	NAC
PH01000511G0500	PH01000511G0500	bZIP
PH01000513G0590	PH01000513G0590	LBD
PH01000519G0700	PH01000519G0700	TCP
PH01000519G0840	PH01000519G0840	bHLH
PH01000524G0850	PH01000524G0850	WRKY
PH01000530G0190	PH01000530G0190	bHLH
PH01000530G0220	PH01000530G0220	EIL
PH01000532G0650	PH01000532G0650	NF-YC
PH01000534G0230	PH01000534G0230	WRKY
PH01000534G0360	PH01000534G0360	bHLH
PH01000535G0790	PH01000535G0790	WRKY
PH01000538G0420	PH01000538G0420	GRAS
PH01000538G0560	PH01000538G0560	HRT-like
PH01000546G0840	PH01000546G0840	HSF
PH01000548G0610	PH01000548G0610	SBP
PH01000549G0590	PH01000549G0590	WRKY
PH01000551G0540	PH01000551G0540	bZIP
PH01000551G0600	PH01000551G0600	GRAS
PH01000551G0750	PH01000551G0750	Trihelix
PH01000557G0340	PH01000557G0340	WRKY
PH01000567G0450	PH01000567G0450	E2F/DP
PH01000568G0640	PH01000568G0640	bZIP
PH01000575G0620	PH01000575G0620	bZIP
PH01000585G0570	PH01000585G0570	BES1
PH01000589G0830	PH01000589G0830	NAC
PH01000595G0290	PH01000595G0290	bHLH
PH01000599G0590	PH01000599G0590	bHLH
PH01000601G0200	PH01000601G0200	GRAS
PH01000602G0590	PH01000602G0590	TCP
PH01000604G0620	PH01000604G0620	GATA
PH01000608G0120	PH01000608G0120	bZIP
PH01000608G0740	PH01000608G0740	SBP
PH01000616G0210	PH01000616G0210	ZF-HD
PH01000621G0810	PH01000621G0810	bZIP
PH01000622G0760	PH01000622G0760	WRKY
PH01000624G0480	PH01000624G0480	bZIP
PH01000626G0180	PH01000626G0180	bHLH
PH01000626G0430	PH01000626G0430	HSF
PH01000630G0150	PH01000630G0150	ZF-HD
PH01000639G0140	PH01000639G0140	GRAS
PH01000642G0890	PH01000642G0890	bZIP
PH01000644G0440	PH01000644G0440	bZIP
PH01000652G0840	PH01000652G0840	NAC
PH01000653G0110	PH01000653G0110	NAC
PH01000653G0760	PH01000653G0760	Nin-like
PH01000655G0140	PH01000655G0140	bHLH
PH01000656G0510	PH01000656G0510	bHLH
PH01000656G0710	PH01000656G0710	GRAS
PH01000659G0050	PH01000659G0050	WRKY
PH01000664G0320	PH01000664G0320	bZIP
PH01000664G0640	PH01000664G0640	Dof
PH01000666G0490	PH01000666G0490	NF-YA
PH01000667G0080	PH01000667G0080	Nin-like
PH01000667G0650	PH01000667G0650	NAC
PH01000679G0010	PH01000679G0010	bZIP
PH01000679G0760	PH01000679G0760	bHLH
PH01000682G0190	PH01000682G0190	bZIP
PH01000688G0120	PH01000688G0120	NAC
PH01000692G0440	PH01000692G0440	NF-YA
PH01000700G0690	PH01000700G0690	HSF
PH01000701G0030	PH01000701G0030	HSF
PH01000705G0580	PH01000705G0580	E2F/DP
PH01000708G0250	PH01000708G0250	GRAS
PH01000712G0640	PH01000712G0640	GRAS
PH01000712G0670	PH01000712G0670	GRAS
PH01000716G0640	PH01000716G0640	WRKY
PH01000716G0820	PH01000716G0820	WRKY
PH01000722G0060	PH01000722G0060	GeBP
PH01000724G0330	PH01000724G0330	NAC
PH01000724G0700	PH01000724G0700	bHLH
PH01000727G0170	PH01000727G0170	NAC
PH01000727G0540	PH01000727G0540	bZIP
PH01000728G0010	PH01000728G0010	NAC
PH01000729G0360	PH01000729G0360	NAC
PH01000732G0100	PH01000732G0100	bHLH
PH01000735G0110	PH01000735G0110	WRKY
PH01000740G0150	PH01000740G0150	bHLH
PH01000746G0370	PH01000746G0370	HSF
PH01000746G0560	PH01000746G0560	WRKY
PH01000749G0800	PH01000749G0800	Trihelix
PH01000750G0690	PH01000750G0690	GATA
PH01000754G0430	PH01000754G0430	bHLH
PH01000754G0710	PH01000754G0710	GRAS
PH01000762G0770	PH01000762G0770	NAC
PH01000767G0040	PH01000767G0040	TCP
PH01000770G0270	PH01000770G0270	SBP
PH01000770G0540	PH01000770G0540	EIL
PH01000773G0410	PH01000773G0410	bHLH
PH01000778G0550	PH01000778G0550	Trihelix
PH01000783G0010	PH01000783G0010	bHLH
PH01000783G0460	PH01000783G0460	bHLH
PH01000786G0600	PH01000786G0600	bHLH
PH01000788G0760	PH01000788G0760	LBD
PH01000789G0200	PH01000789G0200	Dof
PH01000794G0630	PH01000794G0630	NAC
PH01000803G0670	PH01000803G0670	bHLH
PH01000804G0640	PH01000804G0640	NAC
PH01000811G0380	PH01000811G0380	bZIP
PH01000814G0580	PH01000814G0580	HSF
PH01000814G0820	PH01000814G0820	WRKY
PH01000820G0540	PH01000820G0540	NAC
PH01000823G0340	PH01000823G0340	WRKY
PH01000823G0440	PH01000823G0440	bZIP
PH01000823G0680	PH01000823G0680	Trihelix
PH01000829G0210	PH01000829G0210	BBR-BPC
PH01000832G0670	PH01000832G0670	NAC
PH01000836G0660	PH01000836G0660	GATA
PH01000845G0490	PH01000845G0490	NAC
PH01000849G0330	PH01000849G0330	HSF
PH01000855G0230	PH01000855G0230	NF-YA
PH01000856G0430	PH01000856G0430	NAC
PH01000860G0710	PH01000860G0710	GRAS
PH01000871G0440	PH01000871G0440	bZIP
PH01000877G0160	PH01000877G0160	NAC
PH01000887G0360	PH01000887G0360	bZIP
PH01000887G0620	PH01000887G0620	GeBP
PH01000891G0190	PH01000891G0190	NAC
PH01000891G0360	PH01000891G0360	NAC
PH01000896G0440	PH01000896G0440	GRAS
PH01000901G0540	PH01000901G0540	Dof
PH01000904G0290	PH01000904G0290	YABBY
PH01000906G0240	PH01000906G0240	WRKY
PH01000907G0490	PH01000907G0490	Trihelix
PH01000915G0320	PH01000915G0320	SBP
PH01000917G0090	PH01000917G0090	bZIP
PH01000919G0460	PH01000919G0460	CAMTA
PH01000920G0420	PH01000920G0420	SBP
PH01000930G0020	PH01000930G0020	LBD
PH01000937G0050	PH01000937G0050	GeBP
PH01000940G0470	PH01000940G0470	bZIP
PH01000941G0090	PH01000941G0090	bHLH
PH01000941G0150	PH01000941G0150	Dof
PH01000943G0430	PH01000943G0430	bHLH
PH01000949G0120	PH01000949G0120	Dof
PH01000955G0220	PH01000955G0220	YABBY
PH01000960G0260	PH01000960G0260	bHLH
PH01000961G0570	PH01000961G0570	NAC
PH01000966G0030	PH01000966G0030	BES1
PH01000969G0180	PH01000969G0180	SBP
PH01000970G0550	PH01000970G0550	NAC
PH01000978G0590	PH01000978G0590	NF-YB
PH01000983G0460	PH01000983G0460	ZF-HD
PH01000985G0130	PH01000985G0130	NAC
PH01000985G0260	PH01000985G0260	GATA
PH01000985G0610	PH01000985G0610	SBP
PH01000986G0410	PH01000986G0410	WRKY
PH01000988G0640	PH01000988G0640	LBD
PH01000991G0370	PH01000991G0370	LBD
PH01000997G0140	PH01000997G0140	NAC
PH01001002G0190	PH01001002G0190	GATA
PH01001004G0240	PH01001004G0240	WRKY
PH01001018G0530	PH01001018G0530	HSF
PH01001028G0180	PH01001028G0180	HSF
PH01001037G0370	PH01001037G0370	WRKY
PH01001038G0580	PH01001038G0580	Dof
PH01001042G0210	PH01001042G0210	bHLH
PH01001045G0070	PH01001045G0070	bHLH
PH01001048G0540	PH01001048G0540	BES1
PH01001051G0170	PH01001051G0170	bHLH
PH01001056G0170	PH01001056G0170	bZIP
PH01001059G0320	PH01001059G0320	GeBP
PH01001063G0490	PH01001063G0490	NAC
PH01001067G0210	PH01001067G0210	bHLH
PH01001070G0190	PH01001070G0190	WRKY
PH01001070G0240	PH01001070G0240	WRKY
PH01001070G0420	PH01001070G0420	WRKY
PH01001072G0510	PH01001072G0510	GeBP
PH01001091G0310	PH01001091G0310	BBR-BPC
PH01001092G0040	PH01001092G0040	bZIP
PH01001092G0280	PH01001092G0280	bHLH
PH01001100G0250	PH01001100G0250	WRKY
PH01001110G0250	PH01001110G0250	bHLH
PH01001110G0360	PH01001110G0360	LBD
PH01001117G0310	PH01001117G0310	Dof
PH01001119G0330	PH01001119G0330	bHLH
PH01001119G0470	PH01001119G0470	bZIP
PH01001127G0440	PH01001127G0440	GeBP
PH01001129G0100	PH01001129G0100	bHLH
PH01001129G0380	PH01001129G0380	GATA
PH01001131G0560	PH01001131G0560	WRKY
PH01001137G0080	PH01001137G0080	bHLH
PH01001141G0250	PH01001141G0250	bZIP
PH01001141G0260	PH01001141G0260	bZIP
PH01001142G0610	PH01001142G0610	WRKY
PH01001153G0250	PH01001153G0250	NAC
PH01001154G0200	PH01001154G0200	WRKY
PH01001155G0390	PH01001155G0390	bHLH
PH01001155G0480	PH01001155G0480	GATA
PH01001158G0670	PH01001158G0670	bHLH
PH01001159G0170	PH01001159G0170	bHLH
PH01001160G0380	PH01001160G0380	bHLH
PH01001166G0570	PH01001166G0570	Nin-like
PH01001167G0360	PH01001167G0360	SBP
PH01001168G0540	PH01001168G0540	NAC
PH01001169G0070	PH01001169G0070	bZIP
PH01001177G0140	PH01001177G0140	NAC
PH01001184G0040	PH01001184G0040	NAC
PH01001184G0160	PH01001184G0160	Dof
PH01001184G0290	PH01001184G0290	EIL
PH01001184G0380	PH01001184G0380	bZIP
PH01001191G0080	PH01001191G0080	Trihelix
PH01001195G0450	PH01001195G0450	NAC
PH01001197G0410	PH01001197G0410	GRAS
PH01001201G0540	PH01001201G0540	bZIP
PH01001208G0150	PH01001208G0150	ZF-HD
PH01001210G0270	PH01001210G0270	WRKY
PH01001215G0380	PH01001215G0380	FAR1
PH01001215G0530	PH01001215G0530	Trihelix
PH01001227G0510	PH01001227G0510	Trihelix
PH01001228G0360	PH01001228G0360	HSF
PH01001228G0390	PH01001228G0390	bHLH
PH01001232G0560	PH01001232G0560	WRKY
PH01001233G0100	PH01001233G0100	STAT
PH01001236G0110	PH01001236G0110	NF-YB
PH01001239G0650	PH01001239G0650	BES1
PH01001245G0180	PH01001245G0180	WRKY
PH01001245G0190	PH01001245G0190	GRAS
PH01001249G0310	PH01001249G0310	LBD
PH01001253G0390	PH01001253G0390	GATA
PH01001260G0280	PH01001260G0280	bHLH
PH01001264G0440	PH01001264G0440	Dof
PH01001280G0060	PH01001280G0060	WRKY
PH01001281G0440	PH01001281G0440	bZIP
PH01001292G0350	PH01001292G0350	NAC
PH01001302G0050	PH01001302G0050	bHLH
PH01001302G0300	PH01001302G0300	bHLH
PH01001302G0370	PH01001302G0370	bZIP
PH01001308G0200	PH01001308G0200	GeBP
PH01001309G0120	PH01001309G0120	NAC
PH01001316G0020	PH01001316G0020	SBP
PH01001325G0370	PH01001325G0370	E2F/DP
PH01001331G0040	PH01001331G0040	WRKY
PH01001331G0070	PH01001331G0070	WRKY
PH01001360G0260	PH01001360G0260	CAMTA
PH01001362G0060	PH01001362G0060	WRKY
PH01001363G0470	PH01001363G0470	LBD
PH01001385G0290	PH01001385G0290	bHLH
PH01001385G0300	PH01001385G0300	Dof
PH01001389G0560	PH01001389G0560	bHLH
PH01001390G0020	PH01001390G0020	E2F/DP
PH01001397G0220	PH01001397G0220	WRKY
