"","PRISM|7122","PRISM|7147","PRISM|7150","PRISM|7153","PRISM|7184","PRISM|7238","PRISM|7406","PRISM|7408","PRISM|7421","PRISM|7445","PRISM|7486","PRISM|7496","PRISM|7506","PRISM|7547","PRISM|7658","PRISM|7662","PRISM|7744","PRISM|7759","PRISM|7762","PRISM|7776","PRISM|7791","PRISM|7843","PRISM|7847","PRISM|7852","PRISM|7855","PRISM|7858","PRISM|7860","PRISM|7861","PRISM|7862","PRISM|7870","PRISM|7874","PRISM|7875","PRISM|7879","PRISM|7897","PRISM|7899","PRISM|7904","PRISM|7906","PRISM|7908","PRISM|7909","PRISM|7910","PRISM|7911","PRISM|7912","PRISM|7938","PRISM|7941","PRISM|7947","PRISM|7948","PRISM|7955","PRISM|7971","PRISM|7989","PRISM|8095","PRISM|8096","PRISM|8101","PRISM|8106","PRISM|8129","PRISM|8226","PRISM|8244","PRISM|8264","PRISM|8275","PRISM|8283","PRISM|8332","PRISM|8336","PRISM|8361","PRISM|8374","PRISM|8377","PRISM|8406","PRISM|8441","PRISM|8444","PRISM|8447","PRISM|8452","PRISM|8458","PRISM|8462","PRISM|8464","PRISM|8466","PRISM|8467","PRISM|8475","PRISM|8480","PRISM|8483","PRISM|8485","PRISM|8496","PRISM|8502","PRISM|8503","PRISM|8511","PRISM|8513","PRISM|8515","PRISM|8523","PRISM|8534","PRISM|8537","PRISM|8550","PRISM|8564","PRISM|8565","PRISM|8573","PRISM|8577","PRISM|8589","PRISM|8591","PRISM|8592","PRISM|8605","PRISM|8624","PRISM|8628","PRISM|8629","PRISM|8667","PRISM|8675","PRISM|8683","PRISM|8692","PRISM|8696","PRISM|8728","PRISM|8734","PRISM|8735","PRISM|8746","PRISM|8749","PRISM|8753","PRISM|8754","PRISM|8758","PRISM|8764","PRISM|8765","PRISM|8774","PRISM|8776","PRISM|8778","PRISM|8783","PRISM|8784","PRISM|8785","PRISM|8788","PRISM|8789","PRISM|8794","PRISM|8795","PRISM|8800","PRISM|8802","PRISM|8803","PRISM|8805","PRISM|8806","PRISM|8807","PRISM|8809","PRISM|8815","PRISM|8841","PRISM|8843","PRISM|8844","PRISM|8846","PRISM|8847","PRISM|8849","PRISM|8878","PRISM|8882","PRISM|8892","PRISM|8894","PRISM|8898","PRISM|8924","PRISM|8932","PRISM|8982","PRISM|8998","PRISM|9010","PRISM|9018","PRISM|9030","PRISM|9033","PRISM|9074","PRISM|9079","PRISM|9126","PRISM|9148","Validation|LLDeep_0001","Validation|LLDeep_0003","Validation|LLDeep_0010","Validation|LLDeep_0011","Validation|LLDeep_0012","Validation|LLDeep_0015","Validation|LLDeep_0018","Validation|LLDeep_0021","Validation|LLDeep_0022","Validation|LLDeep_0024","Validation|LLDeep_0026","Validation|LLDeep_0027","Validation|LLDeep_0028","Validation|LLDeep_0029","Validation|LLDeep_0030","Validation|LLDeep_0033","Validation|LLDeep_0034","Validation|LLDeep_0037","Validation|LLDeep_0039","Validation|LLDeep_0043","Validation|LLDeep_0047","Validation|LLDeep_0052","Validation|UMCG0333264","Validation|UMCG1180653","Validation|UMCG1576297","Validation|UMCG1705352","Validation|UMCG1708847","Validation|UMCG2023308","Validation|UMCG2136686","Validation|UMCG2739287","Validation|UMCG2788516","Validation|UMCG3243705","Validation|UMCG3299495","Validation|UMCG3321127","Validation|UMCG3595094","Validation|UMCG3748218","Validation|UMCG4000898","Validation|UMCG4081271","Validation|UMCG4268471","Validation|UMCG4722506","Validation|UMCG4789724","Validation|UMCG4851027","Validation|UMCG5113553","Validation|UMCG5308346","Validation|UMCG5437940","Validation|UMCG5613882","Validation|UMCG5792346","Validation|UMCG5921444","Validation|UMCG6047689","Validation|UMCG6054655","Validation|UMCG6262744","Validation|UMCG6628208","Validation|UMCG6720116","Validation|UMCG6738619","Validation|UMCG6868484","Validation|UMCG6966873","Validation|UMCG7115152","Validation|UMCG7198526","Validation|UMCG7563651","Validation|UMCG8089650","Validation|UMCG8255148","Validation|UMCG8438880","Validation|UMCG9119812","Validation|UMCG9189151","Validation|UMCG9830707"
"K00950",0,2.296,21.313,38.086,14.982,48.675,7.791,29.193,0.104,13.706,15.68,71.876,5.738,1.32,4.408,11.945,17.553,1.366,17.152,50.062,23.545,66.085,7.821,4.053,4.453,0,25.776,34.266,0.712,0,16.081,0,21.595,19.838,2.594,12.501,2.578,21.549,15.468,9.545,17.967,4.974,23.339,6.163,16.065,6.598,20.828,56.812,13.654,19.444,1.486,7.19,4.969,0.157,6.903,13.376,8.383,45.206,11.701,6.371,14.35,0.403,20.11,2.957,23.639,9.289,23.333,39.964,2.326,1.667,2.315,1.195,15.223,0,13.068,5.021,32.07,9.556,20.981,1.387,14.51,0.977,8.497,86.975,1.901,4.72,13.966,3.112,2.276,2.022,15.458,12.523,6.983,22.786,0.531,6.365,1.738,13.332,7.789,7.435,2.428,12.061,4.246,8.204,9.879,24.069,3.978,12.663,11.83,27.091,16.315,59.931,14.972,3.574,1.904,6.194,14.254,17.553,2.494,12.625,2.826,6.268,5.539,0,14.356,2.127,5.978,2.147,14.928,0,3.828,9.589,2.559,12.668,20.144,0.847,5.754,1.863,0.937,9.723,2.512,22.743,17.722,5.568,25.126,24.74,13.811,2.253,2.203,19.62,18.997,8.398,1.468,22.537,13.994,8.926,0.844,0.521,8.323,10.972,12.111,12.843,2.976,5.102,7.824,14.63,6.403,32.493,8.877,11.462,7.362,24.934,17.822,0.794,43.625,11.031,6.215,14.574,32.354,8.396,20.21,20.28,8.764,18.134,8.825,0.987,9.526,8.747,7.041,31.729,6,8.767,19.087,17.558,22.164,3.822,1.641,5.974,4.126,0.54,17.758,26.223,9.98,9.619,2.451,8.918,2.72,17.363,5.578,23.723,13.874,1.615,1.709,28.511,38.857,111.918,0,3.579,1.429,9.756
"K00951",2.78,30.466,20.014,13.328,31.385,14.811,58.372,8.423,51.072,124.842,106.606,55.726,44.669,24.872,104.95,48.623,11.433,74.711,85.812,59.268,23.157,51.437,44.474,102.158,40.038,78.917,52.732,37.39,56.075,53.043,29.651,25.045,46.81,75.917,31.89,43.339,94.468,78,48.87,92.04,44.148,51.052,59.225,99.778,14.937,72.827,52.392,13.883,13.19,13.312,75.324,39.799,11.008,72.475,12.85,19.83,3.681,39.689,20.708,53.302,95.802,4.867,1.998,18.35,9.141,46.364,60.902,58.632,10.358,26.962,86.916,15.087,26.173,46.124,26.368,0.25,22.079,7.347,41.776,0,52.291,20.322,48.379,24.328,24.192,81.228,20.381,11.715,68.033,8.881,127.219,51.183,64.627,12.992,53.135,27.231,11.72,37.26,158.996,16.535,23.554,91.098,36.924,58.385,55.962,18.137,73.199,83.76,18.734,16.912,71.835,27.813,38.052,42.021,46.732,27.08,25.697,14.28,18.318,37.932,35.392,42.179,52.452,58.874,35.775,18.072,65.598,51.484,38.849,4.79,10.168,4.565,30.131,14.779,33.552,88.16,22.81,63.34,36.187,61.852,83.219,47.038,19.435,24.959,67.201,33.067,58.213,69.649,57.578,15.515,32.848,25.452,22.915,32.312,33.554,51.748,67.814,27.621,46.132,63.398,44.552,35.84,22.197,36.251,62.609,54.203,54.881,26.031,52.619,52.557,37.124,47.989,44.108,74.372,52.452,61.924,62.071,25.441,56.805,56.236,36.733,27.044,65.064,55.282,82.018,5.334,55.333,53.376,46.736,54.436,75.494,58.506,104.459,61.873,50.999,53.033,23.098,31.461,19.297,29.217,70.56,36.366,50.769,46.773,62.352,100.531,57.152,49.062,28.901,29.75,41.646,53.847,47.416,50.652,36.428,62.649,54.971,24.324,58.918,45.066
"K00952",0.151,0.351,1.89,0.389,0.463,0.237,1.29,3.153,7.759,1.127,0.131,2.9,0.252,0.282,7.825,5.858,0.076,3.185,0.551,12.201,0.399,0.074,2.261,12.481,1.687,0.219,4.891,3.189,3.011,2.13,0.171,0,5.315,16.352,1.162,0.267,7.515,0.324,0.332,2.544,0.431,6.693,1.802,0.927,0.992,0.3,8.961,0.216,2.103,2.389,0,0.14,0.959,0.732,13.265,0.069,31.147,0.069,0.138,1.276,0.589,0.989,0.237,0.602,2.215,1.103,13.795,1.086,4.455,0.919,12.052,5.256,1.408,0.768,25.998,0,3.813,0.168,0.521,4.302,6.311,0.276,0.197,5.512,0.233,72.151,0.653,0,3.776,4.537,4.74,10.922,1.827,2.591,2.904,0,0.284,20.823,4.144,8.062,1.947,3.314,0.504,0.731,4.751,1.268,26.67,5.323,0.559,0.794,0.828,2.156,4.732,0.071,0.153,0.256,9.41,0.222,0.09,0.614,0.395,0.156,1.448,0,0.401,7.982,2.175,5.59,25.297,0.081,1.361,1.223,3.915,2.773,1.413,2.836,0.775,11.549,0.03,4.067,0.266,5.637,0,0.811,24.061,14.923,0.391,0.456,0.628,0,2.109,3.551,0.074,0.895,0.562,7.052,0.317,0.942,4.287,0.652,0.274,1.872,6.716,0.81,5.108,2.31,0.263,8.477,0.213,2.287,10.079,0.285,14.337,2.071,3.653,3.946,1.024,1.398,0.434,0,11.499,22.113,0.252,0.514,0.998,1.285,2.898,0,1.986,6.374,11.046,6.868,0.76,57.023,6.328,1.15,2.284,3.821,1.391,4.422,2.965,0.191,0.253,0.485,4.877,18.656,1.984,25.144,0.186,2.269,13.254,0.518,0,9.509,1.091,5.011,0,0.138,0.365,1.126
"K00953",75.495,175.217,74.605,191.445,194.797,89.823,144.226,122.214,163.14,131.684,194.851,118.286,133.918,118.958,188.839,173.481,176.216,178.61,163.319,172.472,177.536,177.768,119.287,139.002,168.481,176.616,186.611,188.26,153.39,158.292,151.807,36.268,164.64,115.083,164.74,150.066,176.309,217.591,147.658,172.682,195.626,142.533,157.765,187.622,188.741,184.088,204.761,164.727,39.943,52.809,119.277,121.747,123.094,169.244,100.325,127.491,18.866,101.999,167.395,162.788,30.948,167.968,195.37,144.172,142.543,240.494,205.64,192.817,4.866,140.064,159.427,164.246,152.919,159.911,74.419,10.293,161.279,191.494,177.887,7.396,145.319,161.237,169.879,91.474,70.09,338.936,198.038,145.88,151.992,44.198,176,161.132,179.062,199.454,169.675,43.532,158.129,159.302,16.655,89.364,98.094,250.412,143.534,151.783,156.139,94.678,112.054,28.49,72,114.687,176.403,164.696,158.462,147.024,135.286,252.405,151.914,126.299,160.589,142.722,231.408,197.002,143.272,165.857,159.985,85.972,148.448,145.689,83.707,117.892,28.092,108.561,213.508,154.129,121.605,167.104,113.506,90.392,159.536,74.07,95.944,137.328,228.673,117.526,153.034,109.498,161.261,132.165,143.878,170.008,131.249,131.253,241.877,152.097,166.009,150.221,115.92,113.064,113.574,152.319,112.013,123.289,110.122,123.914,141.636,166.469,152.128,155.91,141.51,139.014,105.012,146.019,108.682,138.954,92.679,122.813,134.973,188.069,140.709,75.935,140.172,129.252,162,156.62,125.962,196.007,151.969,124.357,112.521,68.231,107.577,147.742,130.567,100.509,125.273,106.316,185.314,137.627,141.295,166.294,102.716,159.393,157.663,152.021,138.168,176.988,148.351,149.826,150.145,122.188,122.677,131.835,99.202,111.961,157.111,65.302,136.013,77,150.599,133.511
"K00954",168.395,187.411,191.15,189.078,221.084,223.031,218.609,169.308,197.489,176.759,218.696,277.639,180.795,184.282,237.603,198.252,188.28,216.61,211.626,246.167,206.944,365.118,173.037,163.602,178.283,197.595,213.198,202.829,169.872,167.105,205.151,43.501,180.014,265.052,193.476,206.415,191.072,246.273,206.342,205.984,195.781,185.399,192.675,200.893,217.099,199.809,227.393,123.804,168.677,262.733,154.886,187.941,131.941,214.299,170.252,167.118,159.804,144.569,208.043,194.645,268.172,241.758,230.579,175.305,175.146,260.467,225.079,206.936,16.331,173.73,214.211,159.08,211.044,198.468,164.544,17.775,203.847,230.51,172.457,20.375,173.485,216.238,183.461,152.35,110.325,363.795,189.906,129.308,176.804,113.052,200.973,173.265,186.367,192.275,217.768,64.613,177.583,164.125,17.566,175.73,183.492,267.889,180.802,188.705,185.756,191.767,159.627,126.308,181.823,209.79,198.367,254.362,176.98,183.823,207.557,256.692,200.495,169.144,180.069,170.68,238.934,244.237,198.697,174.114,237.698,121.457,179.681,151.104,202.766,217.682,160.576,183.124,258.377,190.939,163.372,222.218,175.062,151.729,186.275,100.595,309.029,205.847,256.91,165.608,172.711,152.769,202.556,206.804,195.364,183.941,221.529,161.35,276.146,179.008,200.984,160.669,127.376,160.467,185.756,204.592,170.423,164.091,149.476,160.155,186.117,164.343,173.714,183.47,152.643,171.838,179.799,229.291,179.777,158.82,231.975,181.75,179.172,247.152,183.474,132.266,173.106,150.103,177.047,226.314,189.725,204.369,172.978,161.209,195.071,178.975,167.035,201.266,175.608,139.348,225.168,194.854,229.637,191.662,177.82,160.207,184.876,184.131,233.478,231.863,203.91,201.788,167.81,194.171,199.549,208.281,156.151,158.477,162.441,154.844,244.348,130.47,179.342,106.256,160.616,176.861
"K00955",261.309,198.482,107.205,264.238,134.604,192.487,111.184,201.069,255.918,159.094,219.59,109.32,198.648,172.458,208.028,176.624,196.779,146.7,200.139,152.102,111.459,11.474,184.349,174.229,198.768,194.577,265.216,199.416,204.641,138.104,153.966,34.109,126.837,102.457,258.954,185.033,178.493,263.982,142.291,226.135,190.847,181.844,147.087,80.453,301.678,216.231,240.303,18.61,212.236,283.49,162.912,117.37,22.738,224.642,118.54,104.847,129.467,106.609,214.671,226.176,0.266,217.436,50.846,123.375,262.762,353.711,146.382,96.417,2.71,81.598,109.413,24.581,258.88,231.119,200.344,2.149,152.165,255.343,142.987,14.801,128.311,101.122,181.034,23.7,113.459,211.06,164.504,16.299,81.52,75.328,123.971,144.228,128.704,123.154,220.75,71.521,140.72,127.962,6.785,168.301,133.517,260.803,159.01,252.116,128.487,189.896,128.072,27.881,254.07,273.849,172.211,13.367,150.377,82.202,196.118,134.553,181.107,170.267,243.398,173.879,173.478,92.115,269.635,210.257,269.447,74.692,162.145,88.071,158.513,88.209,165.252,100.179,116.258,212.772,232.252,197.839,172.729,73.533,217.092,63.41,112.175,122.929,89.562,71.168,288.975,143.91,190.516,125.712,303.146,85.747,51.924,102.17,125.479,212.137,213.869,138.553,109.956,149.877,175.51,193.185,110.808,152.381,109.358,155.466,157.851,205.001,216.86,113.548,200.72,159.636,156.738,154.298,103.838,153.619,75.83,161.905,157.433,68.584,100.581,255.707,135.226,93.061,226.623,179.589,169.614,122.633,139.996,172.744,162.81,83.373,66.424,199.821,154.044,54.759,81.765,85.837,112.774,182.183,159.907,115.062,173.414,123.324,168.067,174.39,186.635,166.502,113.369,173.408,214.281,121.578,98.815,192.744,94.951,136.796,37.163,36.14,158.843,99.148,188.024,231.36
"K00960",274.313,469.417,370.165,390.736,560.209,424.892,567.549,280.129,458.209,453.237,483.436,618.494,370.536,341.394,586.629,573.614,511.244,531.622,469.879,556.068,462.969,749.774,351.556,448.167,482.011,467.581,458.721,498.519,470.005,542.145,504.454,89.464,615.952,602.997,407.496,548.872,535.47,514.701,525.428,524.862,510.181,494.762,417.265,529.378,324.854,583.317,762.045,495.565,294.965,337.182,293.576,381.088,329.849,428.77,313.825,365.135,265.341,389.297,418.413,457.193,747.339,493.211,571.805,418.817,389.893,531.509,629.448,624.84,99.251,515.706,482.107,455.224,395.408,438.592,338.209,29.397,506.214,344.774,462.227,27.584,601.356,503.538,467.333,440.183,203.811,839.683,521.297,255.396,459.195,301.623,607.794,480.183,534.591,540.568,572.953,155.632,447.001,755.429,225.832,304.475,442.287,598.122,442.779,449.164,476.421,369.182,375.986,216.33,302.126,308.26,515.181,832.592,539.585,555.651,395.665,506.257,544.054,343.566,415.891,383.692,396.332,413.301,417.243,369.158,455.377,571.354,351.608,442.235,434.659,395.009,354.103,357.318,571.474,367.993,230.843,454.31,317.163,541.399,302.641,198.075,565.923,500.704,378.187,547.365,475.039,503.2,283.966,451.437,472.689,361.006,580.36,572.411,376.6,425.661,362.459,623.473,304.137,427.309,409.231,503.256,464.685,470.105,488.928,433.713,529.768,470.155,474.418,611.26,463.376,497.379,584.455,586.951,621.136,460.465,666.077,519.203,510.746,606.656,596.881,274.966,519.922,738.584,437.543,459.213,477.99,461.665,540.716,381.456,380.811,506.238,567.297,500.894,505.184,529.831,571.653,518.043,362.929,398.947,420.171,419.653,532.309,511.425,613.33,581.135,506.178,582.514,523.205,534.645,598.73,523.115,834.156,504.69,497.065,461.17,605.921,622.488,516.276,223.622,436.643,412.017
"K00962",23.059,61.645,47.135,74.852,42.536,17.044,33.154,11.159,33.571,86.539,25.708,37.972,32.501,42.253,52.05,84.408,41.203,31.593,56.966,33.526,37.556,44.53,44.397,74.563,79.869,85.464,56.537,66.657,52.461,69.232,44.164,14.368,89.725,40.946,34.507,63.399,73.512,34.931,75.517,40.506,36.815,68.459,65.806,71.6,130.069,82.082,76.125,29.531,8.524,48.822,23.975,40.4,26.274,18.733,5.021,54.286,5.819,58.072,77.377,46.077,0.42,26.944,74.824,34.588,27.05,177.346,126.712,67.954,0,93.549,48.176,26.439,38.976,42.941,19.584,3.186,87.804,29.042,51.319,0.141,68.329,36.945,56.22,33.111,18.334,24.168,116.742,93.407,60.902,15.349,47.006,38.754,97.826,43.458,42.385,14.138,46.533,74.463,8.197,35.544,64.585,21.098,54.45,45.037,54.403,26.336,20.54,38.732,44.734,27.487,69.256,74.085,78.99,111.264,52.889,70.168,93.577,36.567,61.812,55.935,31.948,40.366,36.491,40.108,39.579,94.96,39.646,36.894,39.921,26.636,7.705,5.063,147.765,39.266,32.935,31.559,32.96,62.466,22.719,15.901,52.488,45.271,33.569,107.516,25.146,83.172,36.491,46.874,45.221,26.527,91.139,81.759,25.865,44.075,38.76,74.27,24.76,31.974,78.672,44.999,62.444,88.659,79.773,41.287,67.162,45.488,46.263,46.882,68.733,57.46,82.877,44.998,68.294,67.568,39.195,62.136,59.57,24.095,63.118,35.571,37.083,86.928,58.352,42.575,70.665,78.242,48.242,31.53,34.732,73.448,51.235,55.853,81.22,25.884,30.523,99.417,19.423,34.558,89.84,28.11,65.537,46.087,67.074,44.753,66.941,65.989,61.73,35.877,63.08,36.682,65.268,89.239,78.144,45.816,5.073,74.353,89.043,20.483,54.321,43.682
"K00963",12.608,34.277,42.828,16.199,105.559,56.196,78.341,14.955,63.949,28.041,87.856,138.944,42.743,23.485,98.153,66.946,18.904,116.104,83.178,93.89,31.848,233.619,24.027,84.717,46.868,82.268,49.065,41.417,38.86,20.354,49.92,15.424,54.763,103.169,35.382,48.471,58.599,60.899,57.581,62.491,66.675,42.699,80.831,42.706,117.46,50.361,72.712,183.112,26.36,88.22,45.574,66.087,22.919,53.85,41.633,14.521,24.249,35.418,57.284,66.073,57.188,38.841,107.463,42.836,29.881,155.776,100.982,81.777,10.103,56.144,27.694,22.121,41.009,56.092,40.455,5.072,83.823,26.967,2.85,1.827,59.424,62.109,62.43,46.736,20.229,296.7,114.783,24.344,27.49,136.608,94.781,69.418,25.55,39.274,54.417,15.807,27.995,78.51,20.696,22.846,61.865,121.552,39.465,41.782,73.498,23.459,67.997,61.645,32.129,22.987,54.504,166.315,24.539,46.681,32.878,35.044,60.436,16.105,44.399,44.947,27.606,53.811,35.307,34.925,67.03,41.571,43.896,16.516,127.548,13.809,66.806,19.503,234.217,41.35,66.047,69.949,20.129,36.452,33.455,35.943,160.83,55.305,58.534,73.303,64.168,12.27,64.383,61.158,30.842,31.134,102.489,50.07,21.396,25.307,32.488,67.847,41.246,36.894,47.691,62.518,54.474,45.699,43.474,50.924,63.56,28.37,28.453,68.358,38.132,43.857,57.909,73.838,61.656,19.644,91.144,48.584,43.425,118.48,38.922,17.118,34.596,55.35,20.649,50.874,56.504,78.022,43.732,39.415,63.618,41.749,73.213,50.511,33.764,178.957,112.133,73.291,21.651,35.224,65.39,49.794,23.622,34.038,100.073,62.039,64.791,19.984,74.79,65.575,70.047,38.529,52.55,22.364,16.185,34.788,286.062,86.955,54.343,33.363,44.983,23.566
"K00965",39.977,118.525,52.12,116.884,172.008,96.507,198.214,73.775,147.937,156.504,200.423,207.695,90.604,78.204,212.901,142.518,176.157,193.804,160.454,252.896,206.331,122.019,98.262,119.858,162.772,165.791,184.681,214.3,152.262,178.682,149.841,34.844,121.622,193.482,111.372,140.284,184.609,193.05,134.478,181.116,223.888,119.247,144.358,175.276,37.393,192.952,195.387,112.269,59.899,39.326,121.307,74.335,110.453,262.064,61.753,70.927,43.264,133.415,93.836,133.413,52.562,200.143,99.904,166.779,124.651,110.545,114.898,180.991,14.37,116.277,222.081,157.246,95.263,131.733,76.708,6.863,147.215,49.787,240.794,7.404,143.75,195.54,112.998,139.808,34.573,381.197,107.818,124.77,166.445,65.162,228.199,161.742,193.931,183.88,184.1,44.072,134.016,136.476,25.197,59.07,152.508,212.147,105.327,159.096,109.432,104.237,123.777,20.093,32.408,69.308,138.618,145.418,100.104,85.065,101.722,101.446,70.852,68.086,108.577,65.716,93.606,85.749,147.351,94.118,115.807,60.98,96.928,193.135,103.122,116.397,88.592,144.411,210.433,51.806,15.893,189.947,63.488,158.156,69.288,71.862,161.276,95.116,102.539,99.306,151.198,60.645,71.175,109.558,165.597,59.795,77.193,98.153,68.049,119.46,99.036,166.161,109.34,122.692,97.666,197.347,135.997,126.692,77.397,118.897,194.652,216.005,189.321,151.31,180.346,186.506,88.759,212.918,94.347,221.041,190.823,147.154,187.959,292.552,155.759,100.051,148.803,61.041,222.707,156.842,131.59,175.656,146.08,94.987,128.854,142.064,134.067,157.996,171.808,131.629,182.999,90.425,113.776,129.855,126.377,155.107,175.602,180.56,201.524,187.379,169.912,286.12,150.835,160.997,212.604,154.855,148.974,148.654,121.405,124.345,130.343,125.693,193.012,64.284,149.16,144.052
"K00966",0,7.294,16.128,38.114,2.174,3.808,14.042,43.617,0.436,22.22,1.902,0.822,7.595,2.775,0.693,0.665,0.202,1.65,3.752,0.098,2.824,0.477,11.691,31.283,2.245,1.187,6.222,1.933,1.481,0,0.97,0.165,3.098,0.467,2.407,6.24,2.197,2.258,2.595,1.197,8.385,2.32,31.891,2.087,25.39,11.741,1.58,0.257,43.589,5.144,0.993,1.676,1.005,1.07,9.272,8.211,35.778,1.19,4.337,2.116,0,1.912,9.556,9.227,0.59,2.039,1.92,0,0,1.663,7.45,0.372,14.585,0,46.283,0,15.063,3.428,2.869,5.013,1.813,1.134,8.903,0.438,1.227,0,8.261,0,5.162,1.701,0,1.993,0.449,5.16,0.292,0,3.686,0.113,0,26.609,1.532,0,5.104,4.968,4.679,21.411,1.081,13.227,11.804,18.467,4.768,0,5.365,3.685,2.456,1.149,3.537,18.423,1.439,7.708,3.403,2.112,4.732,7.754,9.494,3.73,22.452,3.727,48.611,0,52.132,42.012,6.898,14.842,48.783,0.243,15.657,13.927,6.796,1.244,1.546,3.302,5.808,1.303,6.397,2.722,11.864,1.283,0.68,6.067,1.153,0.09,2.07,8.271,5.743,0,1.689,0.639,1.467,0.086,0.208,0.945,2.108,2.191,0,0.639,2.509,5.573,0.434,0.206,3.528,0,0.358,0.513,0,0.3,0.295,0.191,0,1.814,0.172,1.498,6.036,2.532,0,2.914,0,3.72,5.22,0.852,0.186,1.151,0,2.623,0,1.832,0,6.534,0.234,4.534,4.298,1.284,1.429,0,1.122,0,5.105,0,2.182,3.943,0,0.567,1.519,1.637,0.998,0,0.139,2.94,1.506,3.805
"K00967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00968",0,0,0,0,0,0,0,2.888,0,0.074,0,0,0,0,0,5.243,0,0,0,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,0,0,19.724,0,0,0,0,0,0,0,0,0,0,0,2.431,0,0,0,0,0,0,0,0,2.243,3.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.371,0,0,0,0,0,0.329,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.295,0.411,0,0,0,0,0.073,0,0,0,0,0,6.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,1.413,0,0,0.288,0,0,0,2.146,0,0,0,0,0
"K00969",165.589,174.681,159.309,171.238,178.129,186.455,131.873,158.635,194.023,155.532,220.686,233.207,155.44,142.888,191.406,162.818,164.669,203.585,192.721,233.117,177.048,317.151,137.734,162.346,157.488,206.81,220.56,176.261,147.522,147.799,176.472,35.813,162.073,196.567,176.314,186.717,169.881,224.922,160.261,187.943,172.637,148.031,150.501,176.822,209.028,174.037,204.447,107.362,131.459,207.867,147.711,154.683,119.993,164.175,112.425,147.185,66.719,140.184,177.893,188.288,259.55,180.662,206.416,156.161,189.671,269.892,188.05,201.808,20.354,164.163,197.083,157.363,194.719,186.112,133.273,15.939,199.619,175.352,160.405,9.191,145.87,185.149,158.741,177.273,120.765,112.564,205.603,130.315,171.429,87.606,180.011,176.374,152.456,175.344,184.323,68.983,163.218,122.947,19.174,165.558,140.185,216.496,153.708,170.689,167.648,149.245,122.111,45.692,137.997,185.304,187.114,244.281,166.94,147.149,178.77,246.658,155.872,146.003,173.355,137.351,243.232,198.534,186.426,163.112,217.048,74.777,171.698,146.548,149.556,209.143,127.375,149.549,211.593,174.302,101.345,200.203,144.716,108.522,181.093,78.607,239.705,174.56,211.707,133.969,148.358,149.793,145.446,190.151,157.858,203.819,206.912,162.47,250.183,164.267,174.488,131.326,105.095,117.77,141.778,170.797,115.454,138.597,95.684,133.646,149.248,150.57,144.732,153.366,139.07,137.127,143.408,172.96,120.294,139.085,182.667,134.875,140.359,247.504,172.996,119.454,155.226,117.093,155.013,157.687,168.983,220.873,165.801,147.491,160.707,133.925,120.771,167.761,142.663,65.968,193.212,136.389,215.192,145.219,162.829,138.974,133.443,166.048,205.451,177.941,161.715,177.021,121.409,189.135,169.152,156.852,129.575,150.714,131.615,145.181,244.843,113.339,163.287,94.179,144.183,137.406
