"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"3-methylxanthine","3-Methylxanthine","HMDB0001886","70639","C16357","CN1C2=C(C(=O)NC1=O)NC=N2","1"
"3-methylhistidine","3-Methylhistidine","HMDB0000479","64969","C01152","CN1C=NC=C1C[C@@H](C(=O)O)N","1"
"dimethyllysine","NA","NA","NA","NA","NA","0"
"N-acetylspermidine","N1-Acetylspermidine","HMDB0001276","496","C00612","CC(=O)NCCCNCCCCN","1"
"NMMA","NA","NA","NA","NA","NA","0"
"trimethyllysine","N6,N6,N6-Trimethyl-L-lysine","HMDB0001325","440120","C03793","C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N","1"
"kynurenic acid","Kynurenic acid","HMDB0000715","3845","C01717","C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O","1"
"N-acetylglutamic acid","N-Acetylglutamic acid","HMDB0001138","185","C00624","CC(=O)NC(CCC(=O)O)C(=O)O","1"
"caffeine","Caffeine","HMDB0001847","2519","C07481","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","1"
"N-acetylhistidine","N-Acetylhistidine","HMDB0032055","273260","C02997","CC(=O)NC(CC1=CN=CN1)C(=O)O","1"
"5-acetylamino-6-amino-3-methyluracil","5-Acetylamino-6-amino-3-methyluracil","HMDB0004400","88299","C16366","CC(=O)NC1=C(NC(=O)N(C1=O)C)N","1"
"ADMA/SDMA","NA","NA","NA","NA","NA","0"
"ADMA","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","CN(C)C(=NCCC[C@@H](C(=O)O)N)N","1"
"C2 carnitine","NA","NA","NA","NA","NA","0"
"L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid","L-1,2,3,4-Tetrahydro-beta-carboline-3-carboxylic acid","HMDB0035665","98285",NA,"C1C(NCC2=C1C3=CC=CC=C3N2)C(=O)O","1"
"N-acetyl-L-arginine","N-a-Acetyl-L-arginine","HMDB0004620","67427",NA,"CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O","1"
"pantothenate","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"carnosine","Carnosine","HMDB0000033","439224","C00386","C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN","1"
"C4 carnitine","NA","NA","NA","NA","NA","0"
"geranyl acetoacetate","NA","NA","NA","NA","NA","0"
"anserine","Anserine","HMDB0000194","112072","C01262","CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN","1"
"2-deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","C00559","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O","1"
"C3-DC-CH3 carnitine","NA","NA","NA","NA","NA","0"
"thiamine","Thiamine","HMDB0000235","1130","C00378","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO","1"
"atenolol","Atenolol","HMDB0001924","2249","C13235","CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O","1"
"threosphingosine","NA","NA","NA","NA","NA","0"
"ethyl 9-hexadecenoate","NA","NA","NA","NA","NA","0"
"8-hydroxy-deoxyguanosine","8-Hydroxy-deoxyguanosine","HMDB0003333","73318",NA,"C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)N=C(N3)N)NC2=O)CO)O","1"
"diacetylspermine","N1,N12-Diacetylspermine","HMDB0002172","132680","C03413","CC(=O)NCCCNCCCCNCCCNC(=O)C","1"
"sphinganine","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O","1"
"phytosphingosine","Phytosphingosine","HMDB0004610","122121","C12144","CCCCCCCCCCCCCC[C@H]([C@H]([C@H](CO)N)O)O","1"
"5alpha-cholestanol","5alpha-Cholestanol","HMDB0000908","6665",NA,"C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C","1"
"C14 carnitine","NA","NA","NA","NA","NA","0"
"C16 carnitine","NA","NA","NA","NA","NA","0"
"C18:2 carnitine","NA","NA","NA","NA","NA","0"
"C18:1 carnitine","NA","NA","NA","NA","NA","0"
"C18 carnitine","NA","NA","NA","NA","NA","0"
"C20:4 carnitine","NA","NA","NA","NA","NA","0"
"C16:0 LPE","NA","NA","NA","NA","NA","0"
"C20 carnitine","NA","NA","NA","NA","NA","0"
"C16:1 LPC plasmalogen","NA","NA","NA","NA","NA","0"
"C18:1 LPC plasmalogen","NA","NA","NA","NA","NA","0"
"bilirubin","Bilirubin","HMDB0000054","21252250","C00486","CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C\4/C(=C(C(=O)N4)C=C)C","1"
